,iter,drug,tissue,model,penalty,preproc,J,p,balance_weights,feature,feat_dim,network_weight,connectivity,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
127,1,Atezo,KIRC,LR,0.01,robust,3,4,False,WM,12,weighted,tight,0.7142857142857143,0,30,0,12,0.5583333333333333,0.2062991606681457,0.6030999036441853
128,2,Atezo,KIRC,LR,0.45,robust,3,4,False,WM,12,weighted,tight,0.6666666666666666,0,28,2,12,0.5444444444444444,0.21855697722254946,0.6213692585302213
129,0,Atezo,KIRC,LR,0.04,standardize,3,4,False,WM,12,weighted,tight,0.7142857142857143,0,30,0,12,0.5194444444444445,0.2012711795612983,0.5907469188864871
130,1,Atezo,KIRC,LR,0.03,standardize,3,4,False,WM,12,weighted,tight,0.7142857142857143,0,30,0,12,0.5055555555555555,0.19948670385308892,0.5838311753122769
131,2,Atezo,KIRC,LR,0.15,standardize,3,4,False,WM,12,weighted,tight,0.7142857142857143,0,30,0,12,0.6583333333333333,0.1967398560831579,0.5770198624329304
132,0,Atezo,KIRC,LR,0.8200000000000001,robust,3,4,True,WM_Norm,12,weighted,tight,0.5952380952380952,8,17,13,4,0.6194444444444445,0.23882040083108677,0.6727762455598141
133,1,Atezo,KIRC,LR,0.99,robust,3,4,True,WM_Norm,12,weighted,tight,0.5714285714285714,5,19,11,7,0.5833333333333333,0.23388486977752518,0.6579053534596052
134,2,Atezo,KIRC,LR,0.91,robust,3,4,True,WM_Norm,12,weighted,tight,0.5,7,14,16,5,0.5611111111111111,0.25170388895584106,0.6965725662977377
135,0,Atezo,KIRC,LR,0.05,standardize,3,4,True,WM_Norm,12,weighted,tight,0.47619047619047616,6,14,16,6,0.475,0.26110362025949946,0.7160303222810771
136,1,Atezo,KIRC,LR,0.02,standardize,3,4,True,WM_Norm,12,weighted,tight,0.35714285714285715,5,10,20,7,0.3861111111111111,0.2661637855837582,0.726053631057874
137,2,Atezo,KIRC,LR,0.01,standardize,3,4,True,WM_Norm,12,weighted,tight,0.5476190476190477,5,18,12,7,0.5472222222222223,0.25243580359205664,0.6982050275085657
138,0,Atezo,KIRC,LR,0.05,robust,3,4,False,WM_Norm,12,weighted,tight,0.7142857142857143,0,30,0,12,0.425,0.21722045753094057,0.6268460540794761
139,1,Atezo,KIRC,LR,0.18,robust,3,4,False,WM_Norm,12,weighted,tight,0.7142857142857143,0,30,0,12,0.5055555555555555,0.20795593521348746,0.6074625852101577
140,2,Atezo,KIRC,LR,0.73,robust,3,4,False,WM_Norm,12,weighted,tight,0.6904761904761905,0,29,1,12,0.5055555555555555,0.22018052788367154,0.6516794977363215
141,0,Atezo,KIRC,LR,1.0,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7142857142857143,0,30,0,12,0.5722222222222223,0.20418145195366902,0.6040245815766091
142,1,Atezo,KIRC,LR,0.73,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7142857142857143,0,30,0,12,0.4777777777777778,0.20946506419187244,0.6099195010460531
143,2,Atezo,KIRC,LR,0.98,standardize,3,4,False,WM_Norm,12,weighted,tight,0.7142857142857143,0,30,0,12,0.48611111111111116,0.21699728199404544,0.6435613695123273
144,0,Atezo,KIRC,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.5238095238095238,5,17,13,7,0.4444444444444444,0.25040791813718694,0.6939628002357088
145,1,Atezo,KIRC,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.6190476190476191,10,16,14,2,0.7055555555555556,0.24867036610370627,0.6904960729004069
146,2,Atezo,KIRC,LR,0.01,robust,3,4,True,TARGET,1,weighted,tight,0.5952380952380952,8,17,13,4,0.6722222222222222,0.2473413682095841,0.6878295613570767
147,0,Atezo,KIRC,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.5714285714285714,8,16,14,4,0.6166666666666666,0.2479626612783889,0.689073008957259
148,1,Atezo,KIRC,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.5476190476190477,5,18,12,7,0.5555555555555556,0.24573356552019465,0.6846033230859543
149,2,Atezo,KIRC,LR,0.01,standardize,3,4,True,TARGET,1,weighted,tight,0.47619047619047616,6,14,16,6,0.5361111111111112,0.2489158892764039,0.6909581224410484
150,0,Atezo,KIRC,LR,0.01,robust,3,4,False,TARGET,1,weighted,tight,0.7142857142857143,0,30,0,12,0.4861111111111111,0.20416072355183992,0.5984631485472365
