"","Gene","Ranksum","Rankcount","thresh","thresh.val","total.iter"
"3086","APOC3",20539,139,"easy",0.05,200
"3087","TPO",4342,20,"easy",0.05,200
"3088","EAF1",1571,4,"easy",0.05,200
"3089","RNF24",321,1,"easy",0.05,200
"3090","DNAH3",23915,157,"easy",0.05,200
"3091","SEPTIN1",25477,109,"easy",0.05,200
"3092","TMCO2",485,1,"easy",0.05,200
"3093","DDX60",9133,26,"easy",0.05,200
"3094","SLC13A4",2141,6,"easy",0.05,200
"3095","ONECUT1",4751,14,"easy",0.05,200
"3096","ENPP6",413,2,"easy",0.05,200
"3097","PARP15",9090,27,"easy",0.05,200
"3098","ARMC12",200,1,"easy",0.05,200
"3099","RASSF9",384,1,"easy",0.05,200
"3100","GOLPH3",432,1,"easy",0.05,200
"3101","PLA2G3",1010,2,"easy",0.05,200
"3102","ITGAV",316,1,"easy",0.05,200
"3103","PCARE",1245,3,"easy",0.05,200
"3104","CASQ2",11344,33,"easy",0.05,200
"3105","AREG",1210,5,"easy",0.05,200
"3106","HCN1",390,2,"easy",0.05,200
"3107","TRIM6-TRIM34",1822,3,"easy",0.05,200
"3108","DPEP3",853,2,"easy",0.05,200
"3109","PPP4R4",2507,6,"easy",0.05,200
"3110","IGDCC3",522,1,"easy",0.05,200
"3111","CPS1",20454,81,"easy",0.05,200
"3112","CFAP157",19895,90,"easy",0.05,200
"3113","C4A",353,1,"easy",0.05,200
"3114","ALPP",788,2,"easy",0.05,200
"3115","AFDN",739,2,"easy",0.05,200
"3116","BST2",4473,13,"easy",0.05,200
"3117","RAPGEF6",6064,18,"easy",0.05,200
"3118","DENND2C",18967,62,"easy",0.05,200
"3119","ATP6V1B1",263,2,"easy",0.05,200
"3120","RGN",291,1,"easy",0.05,200
"3121","ZNF233",3159,10,"easy",0.05,200
"3122","XG",15212,54,"easy",0.05,200
"3123","POC5",3117,9,"easy",0.05,200
"3124","SAA1",2455,7,"easy",0.05,200
"3125","REC8",190,1,"easy",0.05,200
"3126","PDCD2L",278,1,"easy",0.05,200
"3127","UMODL1",19031,68,"easy",0.05,200
"3128","UGT2B10",17302,98,"easy",0.05,200
"3129","SLC43A3",1602,5,"easy",0.05,200
"3130","MANSC4",355,1,"easy",0.05,200
"3131","XAF1",1693,5,"easy",0.05,200
"3132","C4B",4997,14,"easy",0.05,200
"3133","TNFRSF13B",1686,5,"easy",0.05,200
"3134","ZRANB3",1503,6,"easy",0.05,200
"3135","GFI1B",371,1,"easy",0.05,200
"3136","ST8SIA3",3910,12,"easy",0.05,200
"3137","SLC25A33",1890,5,"easy",0.05,200
"3138","CNTF",513,1,"easy",0.05,200
"3139","CFHR2",11184,54,"easy",0.05,200
"3140","TEKT5",637,1,"easy",0.05,200
"3141","OR2T4",824,2,"easy",0.05,200
"3142","MAP4K1",13911,40,"easy",0.05,200
"3143","DHCR24",13603,42,"easy",0.05,200
"3144","CREB3L2",538,1,"easy",0.05,200
"3145","IGHD",1892,8,"easy",0.05,200
"3146","AADAC",20137,134,"easy",0.05,200
"3147","SP5",387,2,"easy",0.05,200
"3148","WRN",645,1,"easy",0.05,200
"3149","ST8SIA1",822,2,"easy",0.05,200
"3150","CAMK2B",1593,6,"easy",0.05,200
"3151","WNT11",1033,5,"easy",0.05,200
"3152","FBXO40",22347,137,"easy",0.05,200
"3153","EML1",1668,3,"easy",0.05,200
"3154","AKR1B15",19774,185,"easy",0.05,200
"3155","MMP3",16933,65,"easy",0.05,200
"3156","AMOTL1",673,2,"easy",0.05,200
"3157","AK5",225,1,"easy",0.05,200
"3158","PAX6",666,1,"easy",0.05,200
"3159","MC2R",11757,30,"easy",0.05,200
"3160","MS4A8",6104,19,"easy",0.05,200
"3161","SLC29A4",376,1,"easy",0.05,200
"3162","CARMIL2",11530,38,"easy",0.05,200
"3163","ANXA2R",22460,97,"easy",0.05,200
"3164","FAM43A",338,1,"easy",0.05,200
"3165","POTEF",7340,43,"easy",0.05,200
"3166","MEDAG",6763,21,"easy",0.05,200
"3167","FPR2",1027,3,"easy",0.05,200
"3168","SLC47A2",2099,6,"easy",0.05,200
"3169","UBR5",548,1,"easy",0.05,200
"3170","TDGF1",123,1,"easy",0.05,200
"3171","SNCA",2576,12,"easy",0.05,200
"3172","SLAMF7",2720,6,"easy",0.05,200
