geneID	string_protein_id	propagate_scores
HSPA4	9606.ENSP00000302961	0.00043555048174668724
TREM2	9606.ENSP00000362205	0.0004354832256501589
FGF2	9606.ENSP00000264498	0.00043392416692232414
CRP	9606.ENSP00000255030	0.0004335353504987284
EP300	9606.ENSP00000263253	0.0004331431740217442
RELA	9606.ENSP00000384273	0.0004329038011813729
ERBB3	9606.ENSP00000267101	0.00042700274342223426
CD244	9606.ENSP00000357012	0.00042525134112923014
ITGA4	9606.ENSP00000380227	0.00042136351094016204
SIRPA	9606.ENSP00000478763	0.00042126322213414827
HLA-DQA2	9606.ENSP00000364076	0.00041858816309472193
CDC42	9606.ENSP00000497733	0.0004173765826857545
SCARB1	9606.ENSP00000261693	0.00041660005900035526
KIR2DL3	9606.ENSP00000342215	0.00041629961694130655
GNG2	9606.ENSP00000334448	0.0004129645457661033
GNAQ	9606.ENSP00000286548	0.00041059908605560203
NCR3LG1	9606.ENSP00000341637	0.00040903752480789214
SCARB2	9606.ENSP00000264896	0.00040801265857499464
PTPN22	9606.ENSP00000352833	0.00040210818217075107
BTK	9606.ENSP00000483570	0.00040159351364964506
RPS27A	9606.ENSP00000272317	0.0004009329150349823
TLR7	9606.ENSP00000370034	0.00040055015357816495
SPN	9606.ENSP00000498852	0.0003995957233764086
CD1B	9606.ENSP00000357150	0.00039946385930348017
CD74	9606.ENSP00000009530	0.00039814010373311444
FOS	9606.ENSP00000306245	0.0003977919876014299
TLR3	9606.ENSP00000296795	0.000397770501507743
IGF1	9606.ENSP00000376637	0.0003966748418118654
GZMH	9606.ENSP00000216338	0.00039523780496009847
PF4	9606.ENSP00000296029	0.00039395564601153396
THY1	9606.ENSP00000284240	0.0003920383863525837
IL1R1	9606.ENSP00000386380	0.0003915867632579877
CSF1	9606.ENSP00000327513	0.00038989878440987577
CCR10	9606.ENSP00000332504	0.0003884710962245916
PTEN	9606.ENSP00000361021	0.00038705144343751286
MRC1	9606.ENSP00000455897	0.00038517027283579465
ENTPD1	9606.ENSP00000360250	0.0003849151375379695
CD6	9606.ENSP00000323280	0.0003827949925345673
