,iter,drug,tissue,max_moment,sparsity,weighting,geneset,model,max_scale,edge_weights,acc,bal_acc,roc_auc
137,4,Ipi,ALL,5,sparse,weighted,auslander,LR,2,normalized,0.625,0.4166666666666667,-1
138,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,2,normalized,0.5,0.6666666666666666,-1
139,4,Ipi,ALL,5,sparse,weighted,auslander,LR,2,normalized,0.5,0.6666666666666666,-1
140,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,3,normalized,0.5,0.5,-1
141,4,Ipi,ALL,1,sparse,weighted,auslander,LR,3,normalized,0.375,0.25,-1
142,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,3,normalized,0.5,0.5,-1
143,4,Ipi,ALL,1,sparse,weighted,auslander,LR,3,normalized,0.375,0.25,-1
144,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,3,normalized,0.625,0.5833333333333333,-1
145,4,Ipi,ALL,2,sparse,weighted,auslander,LR,3,normalized,0.5,0.5,-1
146,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,3,normalized,0.625,0.5833333333333333,-1
147,4,Ipi,ALL,2,sparse,weighted,auslander,LR,3,normalized,0.375,0.25,-1
148,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,3,normalized,0.625,0.4166666666666667,-1
149,4,Ipi,ALL,3,sparse,weighted,auslander,LR,3,normalized,0.625,0.4166666666666667,-1
150,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,3,normalized,0.625,0.75,-1
151,4,Ipi,ALL,3,sparse,weighted,auslander,LR,3,normalized,0.375,0.41666666666666663,-1
152,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,3,normalized,0.75,0.5,-1
153,4,Ipi,ALL,4,sparse,weighted,auslander,LR,3,normalized,0.625,0.4166666666666667,-1
154,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,3,normalized,0.625,0.75,-1
155,4,Ipi,ALL,4,sparse,weighted,auslander,LR,3,normalized,0.375,0.5833333333333334,-1
156,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,3,normalized,0.75,0.5,-1
157,4,Ipi,ALL,5,sparse,weighted,auslander,LR,3,normalized,0.625,0.4166666666666667,-1
158,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,3,normalized,0.625,0.75,-1
159,4,Ipi,ALL,5,sparse,weighted,auslander,LR,3,normalized,0.375,0.5833333333333334,-1
160,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,4,normalized,0.75,0.6666666666666667,-1
161,4,Ipi,ALL,1,sparse,weighted,auslander,LR,4,normalized,0.625,0.4166666666666667,-1
162,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,4,normalized,0.75,0.6666666666666667,-1
163,4,Ipi,ALL,1,sparse,weighted,auslander,LR,4,normalized,0.625,0.4166666666666667,-1
164,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,4,normalized,0.625,0.5833333333333333,-1
165,4,Ipi,ALL,2,sparse,weighted,auslander,LR,4,normalized,0.75,0.6666666666666667,-1
166,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,4,normalized,0.75,0.6666666666666667,-1
167,4,Ipi,ALL,2,sparse,weighted,auslander,LR,4,normalized,0.625,0.4166666666666667,-1
168,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,4,normalized,0.625,0.4166666666666667,-1
169,4,Ipi,ALL,3,sparse,weighted,auslander,LR,4,normalized,0.625,0.4166666666666667,-1
170,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,4,normalized,0.625,0.75,-1
171,4,Ipi,ALL,3,sparse,weighted,auslander,LR,4,normalized,0.5,0.5,-1
172,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,4,normalized,0.75,0.5,-1
173,4,Ipi,ALL,4,sparse,weighted,auslander,LR,4,normalized,0.625,0.4166666666666667,-1
174,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,4,normalized,0.625,0.75,-1
175,4,Ipi,ALL,4,sparse,weighted,auslander,LR,4,normalized,0.625,0.75,-1
176,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,4,normalized,0.75,0.5,-1
177,4,Ipi,ALL,5,sparse,weighted,auslander,LR,4,normalized,0.625,0.4166666666666667,-1
178,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,4,normalized,0.625,0.75,-1
179,4,Ipi,ALL,5,sparse,weighted,auslander,LR,4,normalized,0.625,0.75,-1
180,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,5,normalized,0.625,0.4166666666666667,-1
181,4,Ipi,ALL,1,sparse,weighted,auslander,LR,5,normalized,0.625,0.4166666666666667,-1
182,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,5,normalized,0.625,0.4166666666666667,-1
183,4,Ipi,ALL,1,sparse,weighted,auslander,LR,5,normalized,0.625,0.4166666666666667,-1
184,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,5,normalized,0.5,0.5,-1
185,4,Ipi,ALL,2,sparse,weighted,auslander,LR,5,normalized,0.625,0.5833333333333333,-1
186,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,5,normalized,0.875,0.75,-1
187,4,Ipi,ALL,2,sparse,weighted,auslander,LR,5,normalized,0.625,0.4166666666666667,-1
188,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,5,normalized,0.75,0.5,-1
189,4,Ipi,ALL,3,sparse,weighted,auslander,LR,5,normalized,0.625,0.4166666666666667,-1
190,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,5,normalized,0.75,0.8333333333333333,-1
191,4,Ipi,ALL,3,sparse,weighted,auslander,LR,5,normalized,0.5,0.5,-1
192,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,5,normalized,0.75,0.5,-1
193,4,Ipi,ALL,4,sparse,weighted,auslander,LR,5,normalized,0.625,0.4166666666666667,-1
194,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,5,normalized,0.75,0.8333333333333333,-1
195,4,Ipi,ALL,4,sparse,weighted,auslander,LR,5,normalized,0.625,0.75,-1
196,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,5,normalized,0.75,0.5,-1
197,4,Ipi,ALL,5,sparse,weighted,auslander,LR,5,normalized,0.625,0.4166666666666667,-1
198,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,5,normalized,0.75,0.8333333333333333,-1
199,4,Ipi,ALL,5,sparse,weighted,auslander,LR,5,normalized,0.75,0.8333333333333333,-1
200,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,1,raw,0.5,0.3333333333333333,-1
201,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
202,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,1,raw,0.5,0.3333333333333333,-1
203,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
204,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,1,raw,0.75,0.5,-1
205,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,1,raw,0.75,0.5,-1
206,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,1,raw,0.75,0.5,-1
207,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
208,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,1,raw,0.75,0.5,-1
209,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
210,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,1,raw,0.75,0.5,-1
211,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
212,4,Ipi,ALL,4,sparse,weighted,LINCS,SVC,1,raw,0.625,0.4166666666666667,-1
213,4,Ipi,ALL,4,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
214,4,Ipi,ALL,4,sparse,weighted,LINCS,SVC,1,raw,0.5,0.3333333333333333,-1
215,4,Ipi,ALL,4,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
216,4,Ipi,ALL,5,sparse,weighted,LINCS,SVC,1,raw,0.625,0.4166666666666667,-1
217,4,Ipi,ALL,5,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
218,4,Ipi,ALL,5,sparse,weighted,LINCS,SVC,1,raw,0.5,0.5,-1
219,4,Ipi,ALL,5,sparse,weighted,LINCS,LR,1,raw,0.625,0.4166666666666667,-1
220,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,2,raw,0.625,0.4166666666666667,-1
221,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
222,4,Ipi,ALL,1,sparse,weighted,LINCS,SVC,2,raw,0.625,0.4166666666666667,-1
223,4,Ipi,ALL,1,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
224,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,2,raw,0.75,0.5,-1
225,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,2,raw,0.75,0.5,-1
226,4,Ipi,ALL,2,sparse,weighted,LINCS,SVC,2,raw,0.75,0.5,-1
227,4,Ipi,ALL,2,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
228,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,2,raw,0.75,0.5,-1
229,4,Ipi,ALL,3,sparse,weighted,LINCS,LR,2,raw,0.625,0.4166666666666667,-1
230,4,Ipi,ALL,3,sparse,weighted,LINCS,SVC,2,raw,0.625,0.4166666666666667,-1
